#Keyword Types: 488
#Keyword Tokens: 21205
#Search Hits: 1
1	677	+	3528.97	0.0417	вот
2	860	+	2894.43	0.0484	я
3	464	+	2890.17	0.0293	ну
4	457	+	2372.44	0.0286	да
5	165	+	1383.02	0.0106	ээ
6	621	+	1236.96	0.0329	а
7	143	+	1198.52	0.0092	нрзб
8	257	+	1056.65	0.0161	там
9	281	+	1025.51	0.0175	вы
10	113	+	946.97	0.0073	эээ
11	569	+	932.41	0.0295	то
12	665	+	810.9	0.0312	быть
13	198	+	803.88	0.0125	ты
14	110	+	800.03	0.0071	э
15	480	+	788.33	0.0257	это
16	374	+	776.29	0.0215	мы
17	328	+	751.01	0.0193	у
18	81	+	678.72	0.0052	аа
19	627	+	515.97	0.0276	не
20	535	+	483.94	0.0252	что
21	147	+	461.99	0.0093	знать
22	184	+	434.08	0.0113	говорить
23	50	+	418.91	0.0032	щас
24	335	+	411.45	0.0182	как
25	49	+	364.54	0.0032	мм
26	43	+	350.74	0.0028	угу
27	159	+	345.56	0.0098	какой
28	211	+	326.54	0.0125	все
29	890	+	322.44	0.029	и
30	200	+	312.2	0.0119	так
31	200	+	267.83	0.0117	она
32	83	+	243.61	0.0053	тут
33	60	+	242.17	0.0039	ходить
34	28	+	234.57	0.0018	ааа
35	91	+	226.24	0.0058	потому
36	145	+	225.86	0.0088	уже
37	166	+	214.26	0.0099	такой
38	250	+	210.57	0.0137	этот
39	79	+	208.65	0.005	здесь
40	27	+	206.78	0.0017	ага
41	26	+	203.47	0.0017	че
42	290	+	201.8	0.0152	он
43	24	+	201.06	0.0016	ж
44	24	+	201.06	0.0016	чтоб
45	105	+	196.21	0.0065	сказать
46	78	+	189.6	0.0049	мой
47	28	+	188.51	0.0018	баба
48	24	+	174.55	0.0016	ой
49	70	+	170.42	0.0044	ребенок
50	20	+	167.55	0.0013	сделать
51	94	+	164.59	0.0059	очень
52	69	+	162.15	0.0044	тоже
53	37	+	157.53	0.0024	наверное
54	160	+	156.63	0.0094	весь
55	63	+	152.5	0.004	жить
56	18	+	150.79	0.0012	взять
57	83	+	147.45	0.0052	нет
58	55	+	143.16	0.0035	понимать
59	17	+	142.41	0.0011	посмотреть
60	17	+	142.41	0.0011	типа
61	52	+	142.04	0.0033	пойти
62	21	+	142.01	0.0014	пацан
63	22	+	134.8	0.0014	здравствовать
64	80	+	133.75	0.005	где
65	103	+	132.49	0.0063	когда
66	199	+	132.39	0.011	они
67	110	+	127.92	0.0067	бы
68	15	+	125.66	0.001	ко
69	15	+	125.66	0.001	прям
70	15	+	125.66	0.001	родиться
71	35	+	124.9	0.0023	туда
72	88	+	119.69	0.0055	кто
73	15	+	118.21	0.001	це
74	14	+	117.28	0.0009	смеется
75	56	+	112.92	0.0036	конечно
76	13	+	108.9	0.0008	дак
77	33	+	108.7	0.0021	значить
78	40	+	107.71	0.0026	сколько
79	15	+	103.32	0.001	горшок
80	25	+	103.25	0.0016	деревня
81	28	+	101.77	0.0018	со
82	52	+	101.3	0.0033	потом
83	22	+	100.85	0.0014	бабушка
84	51	+	98.54	0.0032	хороший
85	21	+	97.8	0.0014	сорок
86	28	+	93.89	0.0018	учиться
87	13	+	93.55	0.0008	пахать
88	17	+	93.2	0.0011	ладно
89	31	+	92.66	0.002	опять
90	24	+	92.65	0.0015	двадцать
91	11	+	92.15	0.0007	шо
92	31	+	91.75	0.002	помнить
93	43	+	89.86	0.0027	почему
94	56	+	89.85	0.0035	работать
95	17	+	89.66	0.0011	вон
96	29	+	87.35	0.0019	рассказать
97	34	+	86.91	0.0022	про
98	21	+	86.8	0.0014	слушать
99	14	+	86.77	0.0009	шестьдесят
100	116	+	85.14	0.0069	человек
101	53	+	84.89	0.0034	надо
102	24	+	84.73	0.0015	приехать
103	57	+	84.4	0.0036	сейчас
104	10	+	83.77	0.0006	бессоновка
105	31	+	83.65	0.002	сидеть
106	30	+	83.21	0.0019	ваш
107	287	+	82.8	0.0138	с
108	17	+	81.82	0.0011	мужик
109	82	+	81.44	0.005	себя
110	369	+	78.89	0.0161	на
111	25	+	77.42	0.0016	м
112	50	+	77.12	0.0032	просто
113	40	+	76.9	0.0026	вообще
114	9	+	75.39	0.0006	морозко
115	9	+	75.39	0.0006	нету
116	9	+	75.39	0.0006	попков
117	29	+	74.81	0.0019	понятный
118	31	+	73.25	0.002	уж
119	10	+	73.02	0.0006	хата
120	18	+	72.01	0.0012	тридцать
121	15	+	71.73	0.001	пожалуйста
122	84	+	70.18	0.0051	еще
123	13	+	69.5	0.0008	кидать
124	30	+	69.28	0.0019	нибудь
125	30	+	69.08	0.0019	пять
126	9	+	68.92	0.0006	ха
127	20	+	68.68	0.0013	спрашивать
128	15	+	68.52	0.001	девять
129	14	+	68	0.0009	сказка
130	160	+	67.64	0.0089	год
131	39	+	67.09	0.0025	всегда
132	8	+	67.02	0.0005	бурлак
133	8	+	67.02	0.0005	об
134	8	+	67.02	0.0005	увидеть
135	17	+	62.95	0.0011	сдавать
136	34	+	62.5	0.0022	думать
137	714	+	61.9	0.0218	в
138	26	+	61.33	0.0017	улица
139	21	+	61.2	0.0014	мама
140	8	+	60.77	0.0005	бренчать
141	8	+	60.77	0.0005	дагестанец
142	20	+	60.52	0.0013	ребята
143	16	+	60.43	0.001	дома
144	15	+	60.1	0.001	приезжать
145	9	+	59.47	0.0006	девка
146	7	+	58.64	0.0005	мхм
147	7	+	58.64	0.0005	написать
148	7	+	58.64	0.0005	поговорить
149	7	+	58.64	0.0005	смочь
150	38	+	58.38	0.0024	хотеть
151	17	+	56.65	0.0011	сто
152	47	+	56.41	0.003	идти
153	10	+	56.35	0.0006	колхоз
154	10	+	56.35	0.0006	пруд
155	16	+	55.93	0.001	сюда
156	18	+	55.89	0.0012	ехать
157	17	+	53.77	0.0011	муж
158	50	+	53.02	0.0031	раз
159	36	+	53.01	0.0023	во
160	16	+	52.79	0.001	правильно
161	10	+	52.67	0.0006	наверно
162	7	+	52.64	0.0005	навоз
163	24	+	52.16	0.0015	таки
164	81	+	52.15	0.0049	если
165	69	+	52.11	0.0042	наш
166	44	+	51.95	0.0028	видеть
167	30	+	51.72	0.0019	прийти
168	57	+	51.51	0.0035	два
169	17	+	51.16	0.0011	шесть
170	9	+	50.71	0.0006	мыть
171	6	+	50.26	0.0004	аээ
172	6	+	50.26	0.0004	вещдок
173	6	+	50.26	0.0004	говориться
174	6	+	50.26	0.0004	посадить
175	6	+	50.26	0.0004	эм
176	14	+	50.22	0.0009	звать
177	13	+	50.03	0.0008	синий
178	19	+	49.9	0.0012	бог
179	7	+	49.16	0.0005	вакцинироваться
180	42	+	48.85	0.0027	сегодня
181	93	+	47.87	0.0055	же
182	19	+	47.08	0.0012	получаться
183	9	+	47.08	0.0006	поставить
184	9	+	47.08	0.0006	старуха
185	18	+	46.85	0.0012	умереть
186	11	+	46.6	0.0007	моему
187	12	+	46.58	0.0008	зуб
188	7	+	46.51	0.0005	посев
189	20	+	46.45	0.0013	приходить
190	22	+	46.08	0.0014	играть
191	9	+	46.02	0.0006	баня
192	14	+	45.46	0.0009	вчера
193	20	+	45.45	0.0013	рассказывать
194	8	+	45.08	0.0005	собачка
195	18	+	44.75	0.0012	родитель
196	35	+	44.65	0.0022	земля
197	12	+	44.6	0.0008	праздник
198	6	+	44.55	0.0004	кхм
199	6	+	44.55	0.0004	сателлит
200	7	+	44.34	0.0005	батюшка
201	7	+	44.34	0.0005	восемьдесят
202	7	+	44.34	0.0005	косточка
203	12	+	43.68	0.0008	поехать
204	26	+	43.38	0.0017	сразу
205	22	+	43.26	0.0014	рано
206	7	+	42.49	0.0005	ругаться
207	10	+	42.02	0.0006	книжка
208	5	+	41.88	0.0003	бабка
209	5	+	41.88	0.0003	белек
210	5	+	41.88	0.0003	даг
211	5	+	41.88	0.0003	коровушка
212	5	+	41.88	0.0003	маланья
213	5	+	41.88	0.0003	многий
214	5	+	41.88	0.0003	наговор
215	5	+	41.88	0.0003	попробовать
216	5	+	41.88	0.0003	посчитать
217	5	+	41.88	0.0003	причитать
218	5	+	41.88	0.0003	сеялка
219	5	+	41.88	0.0003	сказочник
220	5	+	41.88	0.0003	угрим
221	5	+	41.88	0.0003	универ
222	5	+	41.88	0.0003	услышать
223	43	+	41.38	0.0027	день
224	6	+	41.32	0.0004	азербайджанский
